pfam_number	Name	Description	Long_description	enzyme_annotation
PF00069	Pkinase	Protein kinase domain		m
PF00070	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase	This family includes both class I and class II oxidoreductases and also NADH oxidases and peroxidases.  This domain is actually  a small NADH binding domain within a larger FAD binding domain.	y
PF00071	Ras	Ras family	Includes sub-families Ras, Rab, Rac, Ral, Ran, Rap Ypt1 and more. Shares P-loop motif with GTP_EFTU, arf and myosin_head.  See Pfam:PF00009 Pfam:PF00025, Pfam:PF00063. As regards Rab GTPases, these are important regulators of vesicle formation, motility and fusion. They share a fold in common with all Ras GTPases: this is a six-stranded beta-sheet surrounded by five alpha-helices [1].	m
PF00074	RnaseA	Pancreatic ribonuclease	Ribonucleases. Members include pancreatic RNAase A and angiogenins. Structure is an alpha+beta fold -- long curved beta sheet and three helices.	m
PF00075	RNase_H	RNase H	RNase H digests the RNA strand of an RNA/DNA hybrid. Important enzyme in retroviral replication cycle, and often found as a domain associated with reverse transcriptases. Structure is a mixed alpha+beta fold with three a/b/a layers.	m
PF00077	RVP	Retroviral aspartyl protease	Single domain aspartyl proteases from retroviruses, retrotransposons, and badnaviruses (plant dsDNA viruses). These proteases are generally part of a larger polyprotein; usually pol, more rarely gag. Retroviral proteases appear to be homologous to a single domain of the two-domain eukaryotic aspartyl proteases such as pepsins, cathepsins, and renins (Pfam:PF00026).	m
PF00078	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)	A reverse transcriptase gene is usually indicative of a mobile element such as a retrotransposon or retrovirus. Reverse transcriptases occur in a variety of mobile elements, including retrotransposons, retroviruses, group II introns, bacterial msDNAs, hepadnaviruses, and caulimoviruses.	m
PF00080	Sod_Cu	Copper/zinc superoxide dismutase (SODC)	superoxide dismutases (SODs) catalyse the conversion of superoxide radicals to hydrogen peroxide and molecular oxygen.  Three evolutionarily distinct families of SODs are known, of which the copper/zinc-binding  family is one. Defects in the human SOD1 gene cause familial amyotrophic lateral sclerosis (Lou Gehrig's disease). Structure is an eight-stranded beta sandwich, similar to the immunoglobulin fold.	y
PF00082	Peptidase_S8	Subtilase family	Subtilases are a family of serine proteases. They appear to have independently and convergently evolved an Asp/Ser/His catalytic triad, like that found in the trypsin serine proteases (see Pfam:PF00089). Structure is an alpha/beta fold containing a 7-stranded parallel beta sheet, order 2314567.	m
PF00089	Trypsin	Trypsin		m
PF00101	RuBisCO_small	Ribulose bisphosphate carboxylase, small chain		y
PF00102	Y_phosphatase	Protein-tyrosine phosphatase		m
PF00106	adh_short	short chain dehydrogenase	This family contains a wide variety of dehydrogenases.	y
PF00108	Thiolase_N	Thiolase, N-terminal domain	Thiolase is reported to be structurally related to beta-ketoacyl  synthase (Pfam:PF00109), and also chalcone synthase.	y
PF00109	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain	The structure of beta-ketoacyl synthase is similar to that of the  thiolase family (Pfam:PF00108) and also chalcone synthase. The active site of beta-ketoacyl synthase is located between the N and C-terminal domains.  The N-terminal domain contains most of  the structures involved in dimer formation and also the active site  cysteine [1].	y
PF00112	Peptidase_C1	Papain family cysteine protease		m
PF00113	Enolase_C	Enolase, C-terminal TIM barrel domain		y
PF00115	COX1	Cytochrome C and Quinol oxidase polypeptide I		e
PF00116	COX2	Cytochrome C oxidase subunit II, periplasmic domain		e
PF00117	GATase	Glutamine amidotransferase class-I		y
PF00120	Gln-synt_C	Glutamine synthetase, catalytic domain		y
PF00121	TIM	Triosephosphate isomerase		y
PF00124	Photo_RC	Photosynthetic reaction centre protein		e
PF00128	Alpha-amylase	Alpha amylase, catalytic domain	Alpha amylase is classified as family 13 of the glycosyl hydrolases. The structure is an 8 stranded alpha/beta barrel containing the  active site, interrupted by a ~70 a.a. calcium-binding domain  protruding between beta strand 3 and alpha helix 3, and a  carboxyl-terminal Greek key beta-barrel domain.	s
PF00133	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)	Other tRNA synthetase sub-families are too dissimilar to be included.	y
PF00135	COesterase	Carboxylesterase family		y
PF00136	DNA_pol_B	DNA polymerase family B	This region of DNA polymerase B appears to consist of more than one structural domain, possibly including elongation, DNA-binding and dNTP binding activities.	m
PF00141	peroxidase	Peroxidase		y
PF00144	Beta-lactamase	Beta-lactamase	This family appears to be distantly related to Pfam:PF00905 and PF00768 D-alanyl-D-alanine carboxypeptidase.	y
PF00145	DNA_methylase	C-5 cytosine-specific DNA methylase		m
PF00146	NADHdh	NADH dehydrogenase		y
PF00148	Oxidored_nitro	Nitrogenase component 1 type Oxidoreductase		y
PF00150	Cellulase	Cellulase (glycosyl hydrolase family 5)		s
PF00151	Lipase	Lipase		y
PF00152	tRNA-synt_2	tRNA synthetases class II (D, K and N) 		y
PF00155	Aminotran_1_2	Aminotransferase class I and II		y
PF00156	Pribosyltran	Phosphoribosyl transferase domain	This family includes a range of diverse phosphoribosyl transferase enzymes.  This family includes: Adenine phosphoribosyl-transferase EC:2.4.2.7, Swiss:P07672. Hypoxanthine-guanine-xanthine phosphoribosyl-transferase Swiss:P51900. Hypoxanthine phosphoribosyl-transferase EC:2.4.2.8 Swiss:P36766. Ribose-phosphate pyrophosphokinase i EC:2.7.6.1 Swiss:P09329. Amidophosphoribosyltransferase EC:2.4.2.14 Swiss:P00496. Orotate phosphoribosyl-transferase EC:2.4.2.10 Swiss:P11172. Uracil phosphoribosyl-transferase EC:2.4.2.9 Swiss:P25532. Xanthine-guanine phosphoribosyl-transferase EC:2.4.2.22 Swiss:P00501.  In Arabidopsis, At the very N-terminus of this domain is the P-Loop NTPase domain [1].	y
PF00160	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	The peptidyl-prolyl cis-trans isomerases, also known as cyclophilins, share this domain of about 109 amino acids. Cyclophilins have been found in all organisms studied so far and catalyse peptidyl-prolyl isomerisation during which the peptide bond preceding proline (the peptidyl-prolyl bond) is stabilised in the cis conformation.  Mammalian cyclophilin A (CypA) is a major cellular target for the immunosuppressive drug cyclosporin A (CsA).  Other roles for cyclophilins may include chaperone and cell signalling function [1].	y
PF00162	PGK	Phosphoglycerate kinase		y
PF00171	Aldedh	Aldehyde dehydrogenase family	This family of dehydrogenases act on aldehyde substrates. Members use NADP as a cofactor. The family includes the following members: The prototypical members are the aldehyde dehydrogenases Swiss:P00352 EC:1.2.1.3. Succinate-semialdehyde dehydrogenase Swiss:P25526 EC:1.2.1.16. Lactaldehyde dehydrogenase Swiss:P25553 EC:1.2.1.22. Benzaldehyde dehydrogenase Swiss:P43503 EC:1.2.1.28. Methylmalonate-semialdehyde dehydrogenase Swiss:Q02252 EC:1.2.1.27. Glyceraldehyde-3-phosphate dehydrogenase Swiss:P81406 EC:1.2.1.9. Delta-1-pyrroline-5-carboxylate dehydrogenase Swiss:P30038 EC: 1.5.1.12. Acetaldehyde dehydrogenase Swiss:P17547 EC:1.2.1.10. Glutamate-5-semialdehyde dehydrogenase Swiss:P07004 EC:1.2.1.41. This family also includes omega crystallin Swiss:P30842 an eye lens protein from squid and octopus that has little aldehyde dehydrogenase activity.	y
PF00174	Oxidored_molyb	Oxidoreductase molybdopterin binding domain	This domain is found in a variety of oxidoreductases. This domain binds to a molybdopterin cofactor. Xanthine dehydrogenases, that also bind molybdopterin, have essentially no similarity.	y
PF00179	UQ_con	Ubiquitin-conjugating enzyme	Proteins destined for proteasome-mediated degradation may be ubiquitinated. Ubiquitination follows conjugation of ubiquitin to a conserved cysteine residue of UBC homologues. TSG101 is one of several UBC homologues that lacks this active site cysteine [4, 5].	y
PF00180	Iso_dh	Isocitrate/isopropylmalate dehydrogenase		y
PF00182	Glyco_hydro_19	Chitinase class I		s
PF00186	DHFR_1	Dihydrofolate reductase		y
PF00190	Cupin_1	Cupin	This family represents the conserved barrel domain of the 'cupin' superfamily [1] ('cupa' is the Latin term for a small barrel). This family contains 11S and 7S plant seed storage proteins, and germins.  Plant seed storage proteins provide the major nitrogen source for the developing plant.	y
PF00194	Carb_anhydrase	Eukaryotic-type carbonic anhydrase		y
PF00198	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	These proteins contain one to three copies of a lipoyl binding domain followed by the catalytic domain.	y
PF00199	Catalase	Catalase		y
PF00201	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase		y
PF00202	Aminotran_3	Aminotransferase class-III		y
PF00206	Lyase_1	Lyase		y
PF00208	ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase		y
PF00211	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain		y
PF00215	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family	This family includes Orotidine 5'-phosphate decarboxylase enzymes EC:4.1.1.23 that are involved in the final step of pyrimidine biosynthesis. The family also includes enzymes such as hexulose-6-phosphate synthase. This family appears to be distantly related to Pfam:PF00834.	y
PF00217	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain	The substrate binding site is located in the cleft between N and C-terminal domains, but most of the catalytic residues are found in the larger C-terminal domain.	y
PF00218	IGPS	Indole-3-glycerol phosphate synthase		y
PF00221	Lyase_aromatic	Aromatic amino acid lyase	This family includes proteins with phenylalanine ammonia-lyase, EC:4.3.1.24, histidine ammonia-lyase, EC:4.3.1.3, and tyrosine aminomutase, EC:5.4.3.6, activities [1-3].	y
PF00223	PsaA_PsaB	Photosystem I psaA/psaB protein		e
PF00224	PK	Pyruvate kinase, barrel domain	This domain of the is actually a small beta-barrel domain nested within a larger TIM barrel.  The active site is found in a cleft between the two domains.	y
PF00225	Kinesin	Kinesin motor domain		m
PF00232	Glyco_hydro_1	Glycosyl hydrolase family 1		s
PF00233	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase		y
PF00239	Resolvase	Resolvase, N terminal domain	The N-terminal domain of the resolvase family (this family) contains the active site and the dimer interface.  The extended arm at the C-terminus of this domain connects to the C-terminal helix-turn-helix domain of resolvase - see Pfam:PF02796.	y
PF00242	DNA_pol_viral_N	DNA polymerase (viral) N-terminal domain		m
PF00245	Alk_phosphatase	Alkaline phosphatase		y
PF00246	Peptidase_M14	Zinc carboxypeptidase		m
PF00248	Aldo_ket_red	Aldo/keto reductase family	This family includes a number of K+ ion channel beta chain regulatory domains - these are reported to have oxidoreductase activity [2].	y
PF00251	Glyco_hydro_32N	Glycosyl hydrolases family 32 N-terminal domain	This domain corresponds to the N-terminal domain of glycosyl hydrolase family 32 which forms a five bladed beta propeller structure [1].	s
PF00254	FKBP_C	FKBP-type peptidyl-prolyl cis-trans isomerase		y
PF00255	GSHPx	Glutathione peroxidase		y
PF00264	Tyrosinase	Common central domain of tyrosinase	This family also contains polyphenol oxidases and some  hemocyanins. Binds two copper ions via two sets of three histidines. This family is related to Pfam:PF00372.	y
PF00265	TK	Thymidine kinase		y
PF00266	Aminotran_5	Aminotransferase class-V	This domain is found in amino transferases, and other enzymes including cysteine desulphurase EC:4.4.1.-.	y
PF00268	Ribonuc_red_sm	Ribonucleotide reductase, small chain		y
PF00270	DEAD	DEAD/DEAH box helicase	Members of this family include the DEAD and DEAH box helicases. Helicases are involved in unwinding nucleic acids. The DEAD box helicases are involved in various aspects of RNA metabolism, including nuclear transcription, pre mRNA splicing, ribosome biogenesis, nucleocytoplasmic transport, translation, RNA decay and organellar gene expression.	m
PF00274	Glycolytic	Fructose-bisphosphate aldolase class-I		y
PF00275	EPSP_synthase	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)		y
PF00282	Pyridoxal_deC	Pyridoxal-dependent decarboxylase conserved domain		y
PF00285	Citrate_synt	Citrate synthase, C-terminal domain	This is the long, C-terminal part of the enzyme.	y
PF00288	GHMP_kinases_N	GHMP kinases N terminal domain	This family includes homoserine kinases, galactokinases and mevalonate kinases.	y
PF00290	Trp_syntA	Tryptophan synthase alpha chain		y
PF00291	PALP	Pyridoxal-phosphate dependent enzyme	Members of this family are all pyridoxal-phosphate dependent enzymes. This family includes: serine dehydratase EC:4.2.1.13 P20132, threonine dehydratase EC:4.2.1.16 Swiss:P04968, tryptophan synthase beta chain EC:4.2.1.20 Swiss:P00932, threonine synthase EC:4.2.99.2 Swiss:P04990, cysteine synthase EC:4.2.99.8 P11096, cystathionine beta-synthase EC:4.2.1.22 Swiss:P35520, 1-aminocyclopropane-1-carboxylate deaminase EC:4.1.99.4 Swiss:P76316.	y
PF00293	NUDIX	NUDIX domain		y
PF00294	PfkB	pfkB family carbohydrate kinase	This family includes a variety of carbohydrate and pyrimidine kinases.	y
PF00296	Bac_luciferase	Luciferase-like monooxygenase		y
PF00300	His_Phos_1	Histidine phosphatase superfamily (branch 1)	The histidine phosphatase superfamily is so named because catalysis centres on a conserved His residue that is transiently phosphorylated during the catalytic cycle.  Other conserved residues contribute to a 'phosphate pocket' and interact with the phospho group of substrate before, during and after its transfer to the His residue. Structure and sequence analyses show that different families contribute different additional residues to the 'phosphate pocket' and, more surprisingly, differ in the position, in sequence and in three dimensions, of a catalytically essential acidic residue.  The superfamily may be divided into two main branches.  The larger branch 1 contains a wide variety of catalytic functions, the best known being fructose 2,6-bisphosphatase (found in a bifunctional protein with 2-phosphofructokinase) and cofactor-dependent phosphoglycerate mutase.  The latter is an unusual example of a mutase activity in the superfamily: the vast majority of members appear to be phosphatases.  The bacterial regulatory protein phosphatase SixA is also in branch 1 and has a minimal, and possible ancestral-like structure, lacking the large domain insertions that contribute to binding of small molecules in branch 1 members.	y
PF00302	CAT	Chloramphenicol acetyltransferase		y
PF00303	Thymidylat_synt	Thymidylate synthase	This is a family of proteins that are flavin-dependent thymidylate synthases.	y
PF00305	Lipoxygenase	Lipoxygenase		y
PF00311	PEPcase	Phosphoenolpyruvate carboxylase		y
PF00316	FBPase	Fructose-1-6-bisphosphatase, N-terminal domain	This family represents the N-terminus of this protein family.	y
PF00326	Peptidase_S9	Prolyl oligopeptidase family		m
PF00328	His_Phos_2	Histidine phosphatase superfamily (branch 2)	The histidine phosphatase superfamily is so named because catalysis centres on a conserved His residue that is transiently phosphorylated during the catalytic cycle.  Other conserved residues contribute to a 'phosphate pocket' and interact with the phospho group of substrate before, during and after its transfer to the His residue. Structure and sequence analyses show that different families contribute different additional residues to the 'phosphate pocket' and, more surprisingly, differ in the position, in sequence and in three dimensions, of a catalytically essential acidic residue.  The superfamily may be divided into two main branches.The smaller branch 2 contains predominantly eukaryotic proteins.  The catalytic functions in members include phytase, glucose-1-phosphatase and multiple inositol polyphosphate phosphatase.  The in vivo roles of the mammalian acid phosphatases in branch 2 are not fully understood, although activity against lysophosphatidic acid and tyrosine-phosphorylated proteins has been demonstrated.	m
PF00330	Aconitase	Aconitase family (aconitate hydratase)		y
PF00331	Glyco_hydro_10	Glycosyl hydrolase family 10		s
PF00332	Glyco_hydro_17	Glycosyl hydrolases family 17		s
PF00334	NDK	Nucleoside diphosphate kinase		y
PF00342	PGI	Phosphoglucose isomerase	Phosphoglucose isomerase catalyses the interconversion of glucose-6-phosphate and fructose-6-phosphate.	y
PF00343	Phosphorylase	Carbohydrate phosphorylase	The members of this family catalyse the formation of  glucose 1-phosphate from one of the following polyglucoses;   glycogen, starch, glucan or maltodextrin.	y
PF00348	polyprenyl_synt	Polyprenyl synthetase		y
PF00349	Hexokinase_1	Hexokinase	Hexokinase (EC:2.7.1.1) contains two structurally similar domains represented by this family and Pfam:PF03727.  Some members of the family have two copies of each of these domains.	y
PF00350	Dynamin_N	Dynamin family		m
PF00351	Biopterin_H	Biopterin-dependent aromatic amino acid hydroxylase	This family includes phenylalanine-4-hydroxylase, the phenylketonuria disease protein.	y
PF00355	Rieske	Rieske [2Fe-2S] domain	The rieske domain has a [2Fe-2S] centre. Two conserved cysteines coordinate one Fe ion, while the other Fe ion is coordinated by two conserved histidines. In hyperthermophilic archaea there is a SKTPCX(2-3)C motif at the C-terminus. The cysteines in this motif form a disulphide bridge, which stabilises the protein [4].	y
PF00365	PFK	Phosphofructokinase		y
PF00367	PTS_EIIB	phosphotransferase system, EIIB		y
PF00368	HMG-CoA_red	Hydroxymethylglutaryl-coenzyme A reductase	The HMG-CoA reductases catalyse the conversion of HMG-CoA to mevalonate, which is the rate-limiting step in the synthesis of isoprenoids like cholesterol. Probably because of the critical role of this enzyme in cholesterol homeostasis, mammalian HMG-CoA reductase is heavily regulated at the transcriptional, translational, and post-translational levels [2].	y
PF00370	FGGY_N	FGGY family of carbohydrate kinases, N-terminal domain	This domain adopts a ribonuclease H-like fold and is structurally related to the C-terminal domain.	y
PF00372	Hemocyanin_M	Hemocyanin, copper containing domain	This family includes arthropod hemocyanins and insect larval storage proteins.	y
PF00373	FERM_M	FERM central domain	This domain is the central structural domain of the FERM domain.	m
PF00374	NiFeSe_Hases	Nickel-dependent hydrogenase		y
PF00383	dCMP_cyt_deam_1	Cytidine and deoxycytidylate deaminase zinc-binding region		y
PF00384	Molybdopterin	Molybdopterin oxidoreductase		y
PF00388	PI-PLC-X	Phosphatidylinositol-specific phospholipase C, X domain	This associates with Pfam:PF00387 to form a single structural unit.	y
PF00390	malic	Malic enzyme, N-terminal domain		y
PF00391	PEP-utilizers	PEP-utilising enzyme, mobile domain	This domain is a "swivelling" beta/beta/alpha domain which is thought to be mobile in all proteins known to contain it.	y
PF00393	6PGD	6-phosphogluconate dehydrogenase, C-terminal domain	This family represents the C-terminal all-alpha domain of 6-phosphogluconate dehydrogenase.              The domain contains two structural repeats of 5 helices each.	y
PF00394	Cu-oxidase	Multicopper oxidase	Many of the proteins in this family contain multiple similar  copies of this plastocyanin-like domain.	y
PF00398	RrnaAD	Ribosomal RNA adenine dimethylase		y
PF00413	Peptidase_M10	Matrixin	The members of this family are enzymes that cleave peptides. These proteases require zinc for catalysis.	m
PF00420	Oxidored_q2	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L		e
PF00421	PSII	Photosystem II protein		e
PF00423	HN	Haemagglutinin-neuraminidase		s
PF00441	Acyl-CoA_dh_1	Acyl-CoA dehydrogenase, C-terminal domain	C-terminal domain of Acyl-CoA dehydrogenase is an all-alpha, four helical up-and-down bundle.	y
PF00443	UCH	Ubiquitin carboxyl-terminal hydrolase		m
PF00445	Ribonuclease_T2	Ribonuclease T2 family		m
PF00448	SRP54	SRP54-type protein, GTPase domain	This family includes relatives of the G-domain of the SRP54 family of proteins.	y
PF00450	Peptidase_S10	Serine carboxypeptidase		y
PF00457	Glyco_hydro_11	Glycosyl hydrolases family 11		s
PF00459	Inositol_P	Inositol monophosphatase family		y
PF00463	ICL	Isocitrate lyase family		y
PF00464	SHMT	Serine hydroxymethyltransferase		y
PF00465	Fe-ADH	Iron-containing alcohol dehydrogenase 		y
PF00475	IGPD	Imidazoleglycerol-phosphate dehydratase		y
PF00478	IMPDH	IMP dehydrogenase / GMP reductase domain	This family is involved in biosynthesis of guanosine nucleotide. Members of this family contain a TIM barrel  structure. In the inosine monophosphate dehydrogenases 2 CBS domains Pfam:PF00571 are inserted in the TIM barrel [2]. This family is a member of the common phosphate binding site TIM barrel family.	y
PF00484	Pro_CA	Carbonic anhydrase	This family includes carbonic anhydrases as well as a family of non-functional homologues related to YbcF.	y
PF00485	PRK	Phosphoribulokinase / Uridine kinase family	This family matches three types of P-loop containing kinases: phosphoribulokinases [1], uridine kinases [2] and bacterial pantothenate kinases(CoaA) [3].  Arabidopsis and other organisms have a dual uridine kinase/uracil phosphoribosyltransferase protein where the N-terminal region consists of a UK domain and the C-terminal region of a UPRT domain [4].	y
PF00487	FA_desaturase	Fatty acid desaturase		y
PF00488	MutS_V	MutS domain V	This domain is found in proteins of the MutS family (DNA mismatch repair proteins) and is found associated with Pfam:PF01624, Pfam:PF05188, Pfam:PF05192 and Pfam:PF05190. The mutS family of proteins is named after the Salmonella typhimurium MutS protein involved in mismatch repair;  other members of the family included the eukaryotic MSH 1,2,3, 4,5 and 6 proteins. These have various roles in DNA repair and  recombination. Human MSH has been implicated in non-polyposis colorectal  carcinoma (HNPCC) and is a mismatch binding protein [2]. The aligned region corresponds with domain V of  Thermus aquaticus MutS as characterised in [4], which contains a Walker A motif, and is structurally similar to the ATPase domain of ABC transporters.	m
PF00490	ALAD	Delta-aminolevulinic acid dehydratase		y
PF00491	Arginase	Arginase family		y
PF00498	FHA	FHA domain	The FHA (Forkhead-associated) domain is a phosphopeptide binding motif [2].	m
PF00499	Oxidored_q3	NADH-ubiquinone/plastoquinone oxidoreductase chain 6		e
PF00501	AMP-binding	AMP-binding enzyme		y
PF00507	Oxidored_q4	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3		e
PF00510	COX3	Cytochrome c oxidase subunit III		e
PF00519	PPV_E1_C	Papillomavirus helicase	This protein is a DNA helicase that is required for initiation of viral DNA replication.  This protein forms a complex with the E2 protein Pfam:PF00508.	m
PF00521	DNA_topoisoIV	DNA gyrase/topoisomerase IV, subunit A		m
PF00534	Glycos_transf_1	Glycosyl transferases group 1	Mutations in this domain of Swiss:P37287 lead to disease  (Paroxysmal Nocturnal haemoglobinuria). Members of this family transfer activated sugars to a variety  of substrates, including glycogen, Fructose-6-phosphate and lipopolysaccharides. Members of this family transfer UDP, ADP,  GDP or CMP linked sugars. The eukaryotic glycogen synthases may be distant members of this family.	s
PF00535	Glycos_transf_2	Glycosyl transferase family 2	Diverse family, transferring sugar from UDP-glucose, UDP-N-acetyl- galactosamine, GDP-mannose or CDP-abequose, to a range of substrates including cellulose, dolichol phosphate and teichoic acids.	s
PF00544	Pec_lyase_C	Pectate lyase	This enzyme forms a right handed beta helix structure. Pectate lyase is an enzyme involved in the maceration and  soft rotting of plant tissue. 	s
PF00545	Ribonuclease	ribonuclease	This enzyme hydrolyses RNA and oligoribonucleotides.	m
PF00548	Peptidase_C3	3C cysteine protease (picornain 3C)	Picornaviral proteins are expressed as a single polyprotein which is cleaved by the viral 3C cysteine protease.	m
PF00549	Ligase_CoA	CoA-ligase	This family includes the CoA ligases Succinyl-CoA synthetase alpha and beta chains, malate CoA ligase and ATP-citrate lyase. Some members of the family utilise ATP others use GTP.	y
PF00551	Formyl_trans_N	Formyl transferase	This family includes the following members. Glycinamide ribonucleotide transformylase catalyses the third step in de novo purine biosynthesis, the transfer of a formyl group to 5'-phosphoribosylglycinamide. Formyltetrahydrofolate deformylase produces formate from formyl- tetrahydrofolate. Methionyl-tRNA formyltransferase transfers a formyl group onto the amino terminus of the acyl moiety of the methionyl aminoacyl-tRNA. Inclusion of the following members is supported by PSI-blast. HOXX_BRAJA (P31907) contains a related domain of unknown function. PRTH_PORGI (P46071) contains a related domain of unknown function. Y09P_MYCTU (Q50721) contains a related domain of unknown function.	y
PF00561	Abhydrolase_1	alpha/beta hydrolase fold	This catalytic domain is found in a very wide range of enzymes.	y
PF00565	SNase	Staphylococcal nuclease homologue	Present in all three domains of cellular life. Four copies in the transcriptional coactivator p100: these, however, appear to lack the active site residues of Staphylococcal nuclease. Positions 14 (Asp-21), 34 (Arg-35), 39 (Asp-40), 42 (Glu-43) and 110 (Arg-87) [SNase numbering in parentheses] are thought to be involved in substrate-binding and catalysis.	m
PF00574	CLP_protease	Clp protease	The Clp protease has an active site catalytic triad. In E. coli Clp protease, ser-111, his-136 and asp-185 form the catalytic triad. Swiss:P48254 has lost all of these active site residues and is therefore inactive. Swiss:P42379 contains two large insertions, Swiss:P42380 contains one large insertion.	m
PF00576	Transthyretin	HIUase/Transthyretin family	This family includes transthyretin that is a thyroid hormone-binding protein that transports thyroxine from the bloodstream to the brain.  However, most of the sequences listed in this family do not bind thyroid hormones. They are actually enzymes of the purine catabolism that catalyse the conversion of 5-hydroxyisourate (HIU) to OHCU [2,3].  HIU hydrolysis is the original function of the family and is conserved from bacteria to mammals; transthyretins arose by gene duplications in the vertebrate lineage [4]. HIUases are distinguished in the alignment from the conserved C-terminal YRGS sequence.	y
PF00578	AhpC-TSA	AhpC/TSA family	This family contains proteins related to alkyl hydroperoxide reductase (AhpC) and thiol specific antioxidant (TSA). 	y
PF00579	tRNA-synt_1b	tRNA synthetases class I (W and Y)		y
PF00581	Rhodanese	Rhodanese-like domain	Rhodanese has an internal duplication.  This Pfam represents a single copy of this duplicated domain.  The domain is found as a single copy in other proteins, including phosphatases and ubiquitin C-terminal hydrolases.	y
